"tplace","fplace","id","from","to","fid","tid","fpid","tpi","date","lang","archive","year","flat","flng","tlat","tlng"
" ","Frauenburg",446,"NIEDERHOFF Leonard","DANTISCUS Ioannes",99,1,49,0,"1533-03-24","Latin","AAWO",1533,54.357478,19.680072,NA,NA
" ","Brussels",5868,"SCHREIBERSDORF Leopold von","DANTISCUS Ioannes",571,1,11,0,"1532-02-21","German","AAWO",1532,50.85034,4.35171,NA,NA
" ","Heilsberg",3284,"DANTISCUS Ioannes","Gdańsk, town council",1,991,1,0,"1547-12-12","German","AAWO",1547,54.130825,20.5672699,NA,NA
" ","Brussels",653,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,11,0,"1531-07-20","Latin","BNW",1531,50.85034,4.35171,NA,NA
" ","Brussels",1537,"DE SCHEPPER Cornelis","DANTISCUS Ioannes",719,1,11,0,"1536-09-13","Latin","AAWO",1536,50.85034,4.35171,NA,NA
" ","Heilsberg",4064,"DANTISCUS Ioannes","HÖFEN Bernhard von",1,266,1,0,"1545-06-17","German","AAWO",1545,54.130825,20.5672699,NA,NA
" ","Brussels",5786,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,11,0,"1532-07-07","Latin","BK",1532,50.85034,4.35171,NA,NA
" ","Brussels",654,"DANTISCUS Ioannes","HERBERSTEIN Sigmund von",1,26,11,0,"1531-07-20","Latin","OSK",1531,50.85034,4.35171,NA,NA
" ","Brussels",5791,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,11,0,"1531-11-10","Latin","BK",1531,50.85034,4.35171,NA,NA
" ","Brussels",2240,"DE SCHEPPER Cornelis","DANTISCUS Ioannes",98,1,11,0,"1539-11-15","Latin","AAWO",1539,50.85034,4.35171,NA,NA
" ","Frauenburg",5679,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,49,0,"1539-06-06","Latin","AAWO",1539,54.357478,19.680072,NA,NA
" ","Bucquoy",4862,"GAMICZ Jan Alfons","DANTISCUS Ioannes",536,1,359,0,"1543-11-06","Latin","GStA PK",1543,NA,NA,NA,NA
" ","Buda",4908,"ŁASKI Hieronim","DANTISCUS Ioannes",180,943,234,0,"1534-09-12","Latin","GStA PK",1534,NA,NA,NA,NA
" ","Buda",2360,"CZARNKOWSKI Andrzej","DANTISCUS Ioannes",371,1,234,0,"1540-11-23","Latin","BCz",1540,NA,NA,NA,NA
" ","Burgos",390,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,63,0,"1528-01-11","Latin","BNW",1528,42.343993,-3.696906,NA,NA
" ","Burgos",382,"DANTISCUS Ioannes","ALIFIO Lodovico",1,105,63,0,"1527-11-15","Latin","BCz",1527,42.343993,-3.696906,NA,NA
" ","Burgos",392,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,63,0,"1528-01-29","Latin","BNW",1528,42.343993,-3.696906,NA,NA
" ","Burgos",396,"DANTISCUS Ioannes","Bona  Sforza",1,7,63,0,"1528-02-20","Latin","BCz",1528,42.343993,-3.696906,NA,NA
" ","Burgos",397,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,63,0,"1528-02-20","Latin","BCz",1528,42.343993,-3.696906,NA,NA
" ","Frauenburg",2122,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,49,0,"1539-03-25","Latin","BCz",1539,54.357478,19.680072,NA,NA
" ","Burgos",5784,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,63,0,"1530-04-19","Latin","BK",1530,42.343993,-3.696906,NA,NA
" ","Burgos",395,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,63,0,"1528-02-20","Latin","BCz",1528,42.343993,-3.696906,NA,NA
" ","Burgos",389,"DANTISCUS Ioannes","Bona  Sforza",1,7,63,0,"1528-01-10","Latin","BCz",1528,42.343993,-3.696906,NA,NA
" ","Burgos",385,"DANTISCUS Ioannes","Sigismund I  Jagiellon",1,24,63,0,"1527-11-15","Latin","BNW",1527,42.343993,-3.696906,NA,NA
" ","Burgos",391,"DANTISCUS Ioannes","ALIFIO Lodovico",1,105,63,0,"1528-01-11","Latin","BCz",1528,42.343993,-3.696906,NA,NA
" ","Burgos",386,"DANTISCUS Ioannes","SOMMA Scipione di",1,625,63,0,"1527-12-02","Latin","BCz",1527,42.343993,-3.696906,NA,NA
" ","Burgos",383,"DANTISCUS Ioannes","ZAMBOCKI Jan",1,71,63,0,"1527-11-15","Latin","BCz",1527,42.343993,-3.696906,NA,NA
" ","Burgos",381,"DANTISCUS Ioannes","TOMICKI Piotr",1,69,63,0,"1527-11-15","Latin","BCz",1527,42.343993,-3.696906,NA,NA
" ","Burgos",384,"DANTISCUS Ioannes","Bona  Sforza",1,7,63,0,"1527-11-15","Latin","BCz",1527,42.343993,-3.696906,NA,NA
" ","Bydgoszcz",1018,"KOŚCIELECKI Stanisław","DANTISCUS Ioannes",154,1,148,0,"1533-10-11","Latin","AAWO",1533,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1310,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1535-06-08","Latin","AAWO",1535,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1443,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1536-04-28","Latin","AAWO",1536,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1165,"KOŚCIELECKI Stanisław","DANTISCUS Ioannes",154,1,148,0,"1534-05-30","Polish","AAWO",1534,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1282,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1535-02-19","Latin","AAWO",1535,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1312,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1535-06-12","Latin","AAWO",1535,53.12348,18.008438,NA,NA
" ","Bydgoszcz",5594,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1536-04-25","Latin","AAWO",1536,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1513,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1536-07-20","Latin","AAWO",1536,53.12348,18.008438,NA,NA
" ","Bydgoszcz",1495,"KOŚCIELECKI Jan","DANTISCUS Ioannes",135,1,148,0,"1536-07-03","Latin","AAWO",1536,53.12348,18.008438,NA,NA
" ","Heilsberg",3451,"DANTISCUS Ioannes","GIESE Tiedemann",1,275,1,0,"1548-10-18","Latin","AAWO",1548,54.130825,20.5672699,NA,NA
" ","Bydgoszcz",3585,"KOŚCIELECKI Stanisław","DANTISCUS Ioannes",154,1,148,0,"1534-04-08","Polish","BCz",1534,53.12348,18.008438,NA,NA
" ","Frauenburg",3645,"REICH Felix","DANTISCUS Ioannes",235,1,49,0,"1538-04-20","Latin","BCz",1538,54.357478,19.680072,NA,NA
" ","Cracow",1680,"DIETZ Jost Ludwig","DANTISCUS Ioannes",70,1,2,0,"1537-08-07","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Christburg",5896,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1533-12-06","German","AAWO",1533,NA,NA,NA,NA
" ","Christburg",2033,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1539-01-06","German","BCz",1539,NA,NA,NA,NA
" ","Christburg",2171,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1539-06-29","German","BCz",1539,NA,NA,NA,NA
" ","Christburg",6023,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1535-10-12","German","AAWO",1535,NA,NA,NA,NA
" ","Christburg",5961,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1539-04-26","German","AAWO",1539,NA,NA,NA,NA
" ","Christburg",2108,"WOJANOWSKI Fabian","DANTISCUS Ioannes",42,1,205,0,"1539-03-15","Latin","BCz",1539,NA,NA,NA,NA
" ","Christburg",1884,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1538-07-27","German","BCz",1538,NA,NA,NA,NA
" ","Christburg",2189,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1539-07-18","German","BCz",1539,NA,NA,NA,NA
" ","Christburg",5517,"ZEHMEN Achatius von","DANTISCUS Ioannes",16,1,205,0,"1536-07-12","German","AAWO",1536,NA,NA,NA,NA
" ","Clementh",5659,"CLEMENTH Georg von","DANTISCUS Ioannes",549,1,392,0,"1539-04-25","German","AAWO",1539,NA,NA,NA,NA
" ","Copenhagen",4501,"WERDEN Johann von","DANTISCUS Ioannes",9,1,348,0,"1537-08-10","German","AAWO",1537,NA,NA,NA,NA
" ","Cracow",2095,"RAWENSIS Valentinus","DANTISCUS Ioannes",310,1,2,0,"1539-03-09","Latin","BCz",1539,50.06465,19.94498,NA,NA
" ","Frauenburg",1684,"COPERNICUS Nicolaus","DANTISCUS Ioannes",78,1,49,0,"1537-08-09","Latin","BCz",1537,54.357478,19.680072,NA,NA
" ","Heilsberg",6120,"FERBER Mauritius","DANTISCUS Ioannes",32,1,1,0,"1537-05-01","Latin","AAWO",1537,54.130825,20.5672699,NA,NA
" ","Cracow",126,"DANTISCUS Ioannes","HERBERSTEIN Sigmund von",1,26,2,0,"1518-02-21","Latin","ONB",1518,50.06465,19.94498,NA,NA
" ","Cracow",844,"Bona  Sforza","DANTISCUS Ioannes",7,1,2,0,"1532-10-23","Latin","BCz",1532,50.06465,19.94498,NA,NA
" ","Frauenburg",1705,"SCULTETI Alexander","DANTISCUS Ioannes",279,1,49,0,"1537-09-08","Latin","BK",1537,54.357478,19.680072,NA,NA
" ","Cracow",3609,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,2,0,"1537-12-04","Latin","BCz",1537,50.06465,19.94498,NA,NA
" ","Cracow",1347,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,2,0,"1535-08-12","Latin","BCz",1535,50.06465,19.94498,NA,NA
" ","Cracow",1344,"BONER Seweryn","DANTISCUS Ioannes",242,1,2,0,"1535-08-10","Latin","AAWO",1535,50.06465,19.94498,NA,NA
" ","Heilsberg",1842,"DANTISCUS Ioannes","GIESE Tiedemann",1,275,1,0,"1538-03-24","Latin","",1538,54.130825,20.5672699,NA,NA
" ","Cracow",3525,"BONER Seweryn","DANTISCUS Ioannes",242,1,2,0,"1531-09-04","Latin","BCz",1531,50.06465,19.94498,NA,NA
" ","Frauenburg",1963,"REICH Felix","DANTISCUS Ioannes",235,1,49,0,"1538-11-01","Latin","BCz",1538,54.357478,19.680072,NA,NA
" ","Frauenburg",4749,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1538-03-23","Latin","AAWO",1538,54.357478,19.680072,NA,NA
" ","Cracow",3610,"BONER Seweryn","DANTISCUS Ioannes",242,1,2,0,"1537-12-06","Latin","BCz",1537,50.06465,19.94498,NA,NA
" ","Heilsberg",2337,"DANTISCUS Ioannes","CRANMER Thomas",1,656,1,0,"1540-09-01","Latin","",1540,54.130825,20.5672699,NA,NA
" ","Frauenburg",2077,"Ermland, Chapter","DANTISCUS Ioannes",985,1,49,0,"1539-02-25","Latin","BCz",1539,54.357478,19.680072,NA,NA
" ","Frauenburg",4721,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1537-07-26","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Cracow",2131,"HOZJUSZ Stanisław","DANTISCUS Ioannes",8,1,2,0,"1539-04-09","Latin","AAWO",1539,50.06465,19.94498,NA,NA
" ","Frauenburg",4509,"SCULTETI Alexander","DANTISCUS Ioannes",279,1,49,0,"1537-08-23","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Heilsberg",3913,"DANTISCUS Ioannes","ZZZZZUNK",1,943,1,0,"1545-04-09","Latin","AAWO",1545,54.130825,20.5672699,NA,NA
" ","Frauenburg",5662,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,49,0,"1539-05-02","Latin","AAWO",1539,54.357478,19.680072,NA,NA
" ","Cracow",879,"Bona  Sforza","DANTISCUS Ioannes",7,1,2,0,"1533-01-11","Latin","BCz",1533,50.06465,19.94498,NA,NA
" ","Frauenburg",4567,"REICH Felix","DANTISCUS Ioannes",235,1,49,0,"1538-03-24","Latin","AAWO",1538,54.357478,19.680072,NA,NA
" ","Frauenburg",6163,"Ermland, Chapter","DANTISCUS Ioannes",985,1,49,0,"1538-01-10","Latin","AAWO",1538,54.357478,19.680072,NA,NA
" ","Cracow",2218,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,275,2,0,"1539-08-20","Latin","BCz",1539,50.06465,19.94498,NA,NA
" ","Frauenburg",3625,"Ermland, Chapter","DANTISCUS Ioannes",985,1,49,0,"1538-02-23","Latin","BCz",1538,54.357478,19.680072,NA,NA
" ","Frauenburg",4713,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1536-06-07","Latin","AAWO",1536,54.357478,19.680072,NA,NA
" ","Cracow",3560,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,2,0,"1533-04-08","Latin","BCz",1533,50.06465,19.94498,NA,NA
" ","Frauenburg",4922,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,49,0,"1538-09-02","German","GStA PK",1538,54.357478,19.680072,NA,NA
" ","Heilsberg",1101,"FERBER Mauritius","DANTISCUS Ioannes",32,1,1,0,"1534-01-22","Latin","AAWO",1534,54.130825,20.5672699,NA,NA
" ","Frauenburg",1025,"NIEDERHOFF Leonard","DANTISCUS Ioannes",99,1,49,0,"1533-10-28","Latin","BCz",1533,54.357478,19.680072,NA,NA
" ","Frauenburg",4752,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1538-03-30","Latin","AAWO",1538,54.357478,19.680072,NA,NA
" ","Frauenburg",4741,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1537-12-10","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Frauenburg",1667,"SCULTETI Alexander","DANTISCUS Ioannes",279,1,49,0,"1537-07-11","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Löbau",71,"DANTISCUS Ioannes","Kulm, Chapter",1,998,15,0,"1536-01-07","Latin","BCz",1536,51.096229,14.670178,NA,NA
" ","Cracow",215,"Bona  Sforza","DANTISCUS Ioannes",24,1,2,0,"1524-06-29","Latin","BNW",1524,50.06465,19.94498,NA,NA
" ","Cracow",478,"WOLSKI Mikołaj","DANTISCUS Ioannes",109,1,2,0,"1530-03-27","Latin","AAWO",1530,50.06465,19.94498,NA,NA
" ","Heilsberg",3253,"DANTISCUS Ioannes","BAYSEN Johann von",1,373,1,0,"1547-11-05","German","AAWO",1547,54.130825,20.5672699,NA,NA
" ","Cracow",754,"MYSZKOWSKI Wawrzyniec","DANTISCUS Ioannes",269,1,2,0,"1532-02-20","Latin","AAWO",1532,50.06465,19.94498,NA,NA
" ","Cracow",849,"Bona  Sforza","DANTISCUS Ioannes",7,1,2,0,"1532-11-07","Latin","BCz",1532,50.06465,19.94498,NA,NA
" ","Heilsberg",4030,"DANTISCUS Ioannes","ZEHMEN Achatius von",1,16,1,0,"1545-03-21","German","AAWO",1545,54.130825,20.5672699,NA,NA
" ","Cracow",5631,"WOLSKI Paweł","DANTISCUS Ioannes",281,1,2,0,"1538-05-31","Latin","AAWO",1538,50.06465,19.94498,NA,NA
" ","Cracow",1633,"Bona  Sforza","DANTISCUS Ioannes",7,1,2,0,"1537-04-26","Latin","BCz",1537,50.06465,19.94498,NA,NA
" ","Cracow",5516,"HEGEL Georg","DANTISCUS Ioannes",31,1,2,0,"1536-05-20","German","AAWO",1536,50.06465,19.94498,NA,NA
" ","Cracow",322,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,2,0,"1527-01-03","Latin","BNW",1527,50.06465,19.94498,NA,NA
" ","Frauenburg",4742,"GIESE Tiedemann","DANTISCUS Ioannes",275,1,49,0,"1537-12-22","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Frauenburg",6078,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,49,0,"1537-09-20","German","AAWO",1537,54.357478,19.680072,NA,NA
" ","Cracow",858,"HEGEL Georg","DANTISCUS Ioannes",31,1,2,0,"1532-12-18","German","AAWO",1532,50.06465,19.94498,NA,NA
" ","Cracow",2232,"HEGEL Georg","DANTISCUS Ioannes",31,1,2,0,"1539-10-10","German","BCz",1539,50.06465,19.94498,NA,NA
" ","Cracow",910,"PESENTI Alessandro","DANTISCUS Ioannes",216,1,2,0,"1533-03-11","Italian","AAWO",1533,50.06465,19.94498,NA,NA
" ","Cracow",1613,"HÖFEN Johann von","DANTISCUS Ioannes",312,1,2,0,"1537-03-30","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Frauenburg",5670,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,49,0,"1539-05-10","Latin","AAWO",1539,54.357478,19.680072,NA,NA
" ","Cracow",576,"VALENTINIS Giovanni Andrea de","DANTISCUS Ioannes",157,1,2,0,"1531-01-06","Latin","AAWO",1531,50.06465,19.94498,NA,NA
" ","Frauenburg",1874,"REICH Felix","DANTISCUS Ioannes",235,1,49,0,"1538-07-18","Latin","BCz",1538,54.357478,19.680072,NA,NA
" ","Frauenburg",1618,"TYMMERMANN Johann","DANTISCUS Ioannes",171,1,49,0,"1537-04-06","Latin","AAWO",1537,54.357478,19.680072,NA,NA
" ","Frauenburg",2126,"Ermland, Chapter","DANTISCUS Ioannes",985,1,49,0,"1539-03-27","Latin","BCz",1539,54.357478,19.680072,NA,NA
" ","Cracow",904,"WAPOWSKI Bernard","DANTISCUS Ioannes",155,1,2,0,"1533-03-05","Latin","AAWO",1533,50.06465,19.94498,NA,NA
" ","Cracow",1715,"HOZJUSZ Stanisław","DANTISCUS Ioannes",8,1,2,0,"1537-09-16","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Cracow",1610,"GRABIA Mikołaj","DANTISCUS Ioannes",224,1,2,0,"1537-03-29","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Friedeck",1556,"DANTISCUS Ioannes","Thorn, town council",1,1010,129,0,"1536-11-22","German","BCz",1536,47.363673,9.318111,NA,NA
" ","Friedeck",1592,"DANTISCUS Ioannes","DE SCHEPPER Cornelis",1,719,129,0,"1537-03-15","Latin","BCz",1537,47.363673,9.318111,NA,NA
" ","Friedeck",1555,"DANTISCUS Ioannes","BAYSEN Georg von",1,144,129,0,"1536-11-22","Latin","BCz",1536,47.363673,9.318111,NA,NA
" ","Cracow",502,"PRÜFFER Ludwig","DANTISCUS Ioannes",114,1,2,0,"1530-06-03","German","BCz",1530,50.06465,19.94498,NA,NA
" ","Cracow",503,"WOLSKI Mikołaj","DANTISCUS Ioannes",109,1,2,0,"1530-06-08","Latin","BCz",1530,50.06465,19.94498,NA,NA
" ","Friedland",4921,"Albrecht I von Hohenzollern-Ansbach","DANTISCUS Ioannes",18,1,370,0,"1542-12-31","German","BCz",1542,NA,NA,NA,NA
" ","Cracow",467,"FERBER Mauritius","DANTISCUS Ioannes",32,1,2,0,"1530-03-06","Latin","",1530,50.06465,19.94498,NA,NA
" ","Heilsberg",2144,"DANTISCUS Ioannes","PŁOTOWSKI Paweł",1,49,1,0,"1539-05-06","Latin","AAWO",1539,54.130825,20.5672699,NA,NA
" ","Cracow",1854,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,2,0,"1538-05-17","Latin","BCz",1538,50.06465,19.94498,NA,NA
" ","Górzno",1100,"NISZCZYCKI Mikołaj","DANTISCUS Ioannes",249,1,156,0,"1534-04-15","Latin","AAWO",1534,NA,NA,NA,NA
" ","Górzno",4528,"NISZCZYCKI Mikołaj","DANTISCUS Ioannes",249,1,156,0,"1534-04-01","Latin","AAWO",1534,NA,NA,NA,NA
" ","Cracow",1980,"MYSZKOWSKI Jerzy","DANTISCUS Ioannes",108,1,2,0,"1538-11-11","Latin","BCz",1538,50.06465,19.94498,NA,NA
" ","Gdańsk",967,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1533-07-01","German","AAWO",1533,54.352025,18.646638,NA,NA
" ","Gdańsk",1975,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1538-11-08","Low German","BCz",1538,54.352025,18.646638,NA,NA
" ","Cracow",2105,"HOZJUSZ Stanisław","DANTISCUS Ioannes",8,1,2,0,"1539-03-12","Latin","AAWO",1539,50.06465,19.94498,NA,NA
" ","Gdańsk",1469,"MAGNUS Ioannes","DANTISCUS Ioannes",132,1,24,0,"1536-06-02","Latin","AAWO",1536,54.352025,18.646638,NA,NA
" ","Cracow",854,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,2,0,"1532-11-13","Latin","BCz",1532,50.06465,19.94498,NA,NA
" ","Cracow",228,"Bona  Sforza","DANTISCUS Ioannes",24,1,2,0,"1525-03-13","Latin","BNW",1525,50.06465,19.94498,NA,NA
" ","Gdańsk",4256,"BISCHOFF Philipp","DANTISCUS Ioannes",234,1,24,0,"1535-01-04","German","AAWO",1535,54.352025,18.646638,NA,NA
" ","Cracow",5890,"HEGEL Georg","DANTISCUS Ioannes",31,1,2,0,"1532-11-22","German","AAWO",1532,50.06465,19.94498,NA,NA
" ","Gdańsk",1226,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1537-07-12","German","AAWO",1537,54.352025,18.646638,NA,NA
" ","Gdańsk",4305,"Gdańsk, town council","DANTISCUS Ioannes",991,1,24,0,"1536-09-16","German","AAWO",1536,54.352025,18.646638,NA,NA
" ","Heilsberg",3941,"DANTISCUS Ioannes","HÖFEN Georg von",1,341,1,0,"1542-09-30","German","AAWO",1542,54.130825,20.5672699,NA,NA
" ","Gdańsk",6141,"Gdańsk, town council","DANTISCUS Ioannes",991,1,24,0,"1541-09-22","German","APG",1541,54.352025,18.646638,NA,NA
" ","Cracow",1575,"DANTISCUS Ioannes","FERBER Mauritius",1,32,2,0,"1537-01-22","Latin","",1537,50.06465,19.94498,NA,NA
" ","Cracow",5698,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,2,0,"1539-12-02","Latin","BNW",1539,50.06465,19.94498,NA,NA
" ","Cracow",1579,"DANTISCUS Ioannes","FERBER Mauritius",1,32,2,0,"1537-02-11","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Gdańsk",759,"TRESLER Ioannes","DANTISCUS Ioannes",60,1,24,0,"1532-02-25","Latin","BCz",1532,54.352025,18.646638,NA,NA
" ","Gdańsk",1763,"TRESLER Ioannes","DANTISCUS Ioannes",60,1,24,0,"1537-11-03","Latin","BCz",1537,54.352025,18.646638,NA,NA
" ","Cracow",911,"CHOJEŃSKI Jan","DANTISCUS Ioannes",100,1,2,0,"1533-03-13","Latin","AAWO",1533,50.06465,19.94498,NA,NA
" ","Cracow",907,"Bona  Sforza","DANTISCUS Ioannes",7,1,2,0,"1533-03-08","Latin","BCz",1533,50.06465,19.94498,NA,NA
" ","Cracow",6028,"BEHME Peter","DANTISCUS Ioannes",1144,1,2,0,"1530-04-04","German","AAWO",1530,50.06465,19.94498,NA,NA
" ","Cracow",2233,"LEWICKI Jan","DANTISCUS Ioannes",116,1,2,0,"1539-10-10","Latin","BCz",1539,50.06465,19.94498,NA,NA
" ","Gdańsk",6143,"Gdańsk, town council","DANTISCUS Ioannes",991,1,24,0,"1542-06-30","German","APG",1542,54.352025,18.646638,NA,NA
" ","Gdańsk",3780,"PLATEN Mathias","DANTISCUS Ioannes",37,1,24,0,"1538-03-29","Low German","BCz",1538,54.352025,18.646638,NA,NA
" ","Gdańsk",5142,"HERMSDORF Martin","DANTISCUS Ioannes",469,1,24,0,"1537-12-31","German","AAWO",1537,54.352025,18.646638,NA,NA
" ","Cracow",6254,"DANTISCUS Ioannes","LUSIAN Fabian von",1,621,2,0,"1518-08-27","Latin","APK I",1518,50.06465,19.94498,NA,NA
" ","Gdańsk",4677,"Gdańsk, town council","DANTISCUS Ioannes",991,1,24,0,"1547-07-11","German","AAWO",1547,54.352025,18.646638,NA,NA
" ","Cracow",875,"DANTISCUS Ioannes","WITTELSBACH Wilhelm IV   Wittelsbach",1,684,2,0,"1532-09-09","German","BHA",1532,50.06465,19.94498,NA,NA
" ","Cracow",1632,"HANNAU Kaspar","DANTISCUS Ioannes",210,1,2,0,"1537-04-26","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Cracow",3565,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,2,0,"1533-05-05","Latin","BCz",1533,50.06465,19.94498,NA,NA
" ","Gdańsk",5892,"BISCHOFF Philipp","DANTISCUS Ioannes",234,1,24,0,"1532-11-14","German","AAWO",1532,54.352025,18.646638,NA,NA
" ","Gdańsk",4313,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1536-10-31","German","AAWO",1536,54.352025,18.646638,NA,NA
" ","Cracow",1217,"TOMICKI Piotr","DANTISCUS Ioannes",69,1,2,0,"1534-08-19","Latin","BCz",1534,50.06465,19.94498,NA,NA
" ","Gdańsk",5926,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1538-05-20","German","AAWO",1538,54.352025,18.646638,NA,NA
" ","Gdańsk",3770,"SCHEWECKE Georg","DANTISCUS Ioannes",33,1,24,0,"1538-01-28","German","BCz",1538,54.352025,18.646638,NA,NA
" ","Heilsberg",3970,"DANTISCUS Ioannes","SCHEWECKE Georg",1,33,1,0,"1543-07-25","German","AAWO",1543,54.130825,20.5672699,NA,NA
" ","Cracow",158,"DIETZ Jost Ludwig","DANTISCUS Ioannes",70,1,2,0,"1522-08-11","Latin","BCz",1522,50.06465,19.94498,NA,NA
" ","Gdańsk",5682,"BARTHEN Jakob","DANTISCUS Ioannes",13,1,24,0,"1539-06-05","Latin","AAWO",1539,54.352025,18.646638,NA,NA
" ","Cracow",2047,"WOLSKI Paweł","DANTISCUS Ioannes",281,1,2,0,"1539-01-11","Latin","BCz",1539,50.06465,19.94498,NA,NA
" ","Cracow",6015,"NIBSCHITZ Nikolaus","DANTISCUS Ioannes",10,1,2,0,"1532-04-24","German","AAWO",1532,50.06465,19.94498,NA,NA
" ","Gdańsk",6017,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1535-07-29","Low German","AAWO",1535,54.352025,18.646638,NA,NA
" ","Gdańsk",4502,"KUNIGK Franz","DANTISCUS Ioannes",503,1,24,0,"1537-08-18","Low German","AAWO",1537,54.352025,18.646638,NA,NA
" ","Cracow",2267,"BUCZACKI Jakub","DANTISCUS Ioannes",396,1,2,0,"1540-01-09","Latin","BCz",1540,50.06465,19.94498,NA,NA
" ","Gdańsk",4592,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1544-05-28","Low German","AAWO",1544,54.352025,18.646638,NA,NA
" ","Gdańsk",6057,"HOLSTEN Hans","DANTISCUS Ioannes",311,1,24,0,"1537-02-08","German","AAWO",1537,54.352025,18.646638,NA,NA
" ","Gdańsk",6133,"Gdańsk, town council","DANTISCUS Ioannes",991,1,24,0,"1540-03-26","German","APG",1540,54.352025,18.646638,NA,NA
" ","Cracow",2027,"MACIEJOWSKI Samuel","DANTISCUS Ioannes",38,1,2,0,"1539-01-01","Latin","BCz",1539,50.06465,19.94498,NA,NA
" ","Cracow",1611,"VIETOR Hieronymus","DANTISCUS Ioannes",115,1,2,0,"1537-03-30","Latin","AAWO",1537,50.06465,19.94498,NA,NA
" ","Gdańsk",4504,"PLATEN Mathias","DANTISCUS Ioannes",37,1,24,0,"1537-08-18","German","AAWO",1537,54.352025,18.646638,NA,NA
" ","Gdańsk",1340,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1535-08-07","Low German","AAWO",1535,54.352025,18.646638,NA,NA
